teamFotmobId,team_name
6461,Sigma Olomouc
6466,Foggia
6479,Pisa
6480,Salernitana
6485,Cittadella
6488,Carrarese
6493,Bellinzona
6494,Ospitaletto
6496,Trenčín
6498,Pro Patria
6500,Reggiana
6504,Monza
6512,Lecco
6514,New York RB
6541,Mjøndalen
6544,Degerfors
6545,Falkenberg
6546,Paysandu
6547,Penafiel
6550,Inter Turku
6563,Ranheim
6576,América
6577,Atlas
6578,Cruz Azul
6580,New England
6581,Yokohama F. Marinos
6582,Gamba Osaka
6594,Freiburg II
6597,VPS
6601,Volendam
6602,DC United
6603,SJ Earthquakes
6604,Sporting KC
6606,Real Salt Lake
6607,Deportivo Saprissa
6608,Aucas
6609,Macará
6612,El Nacional
6614,Seongnam
6618,Toluca
6619,Olimpia
6627,Eastbourne Borough
6628,Shanghai Shenhua
6631,Dordrecht
6634,Mariehamn
6637,Los Angeles Galaxy
6660,Emmen
6690,Brage
6692,Varbergs
6694,Sirius
6701,KTP
6702,Lommel SK
6721,LDU Quito
6722,Avellino
7729,Criciúma
7730,Lausanne Sport
7732,Girona
7733,Vitória
7734,Barakaldo
7753,OFI
7755,Dinamo Tbilisi
7758,Jablonec
7770,Zorya
7774,Eintracht Trier
7778,MTK
7780,Schweinfurt
7781,TOP Oss
7782,Rot-Weiß Oberhausen
7783,Verl
7786,Fortuna Köln
7787,Slavia Praha II
7788,Cambuur
7789,Jahn Regensburg
7794,Bastia
7796,Defensor Sporting
7797,AEK Larnaca 
7800,Gençlerbirliği
7801,Cremonese
7807,Guadalajara
7809,Cacereño
7811,Algeciras
7815,Colo Colo
7818,Santa Fe
7819,Caen
7840,České Budějovice
7841,Rio Ave
7842,Estoril
7843,Unión Española
7844,Vitória Guimarães
7847,Puebla
7848,Pachuca
7849,Monterrey
7850,Caracas
7852,The New Saints
7853,Laval
7854,Leganés
7855,Maccabi Tel Aviv
7856,Torres
7857,Santos Laguna
7859,Ourense CF
7862,Pontevedra
7863,Wanderers
7866,Orlando Pirates
7869,Córdoba
7870,Haka
7872,Olimpija
7876,Burgos
7877,Bahia
7878,Granada
7881,Venezia
7894,Winterthur
7896,Lugano
7937,Hødd
7943,Sassuolo
7946,Harrogate Town
7947,Dender
7954,Farnborough
7955,Neuchâtel Xamax
7961,Perth Glory
7962,Chippenham Town
7971,Linfield
7978,Union Saint-Gilloise
7979,Urartu
7981,Qarabag
7983,Tobol
7984,Portadown
7986,Paksi FC
7988,Odds
7997,Gefle
7998,Partizan
8000,Aktobe
8003,Apollon
8004,ÍA
8005,Ponferradina
8006,Nagoya Grampus
8007,Vålerenga
8008,Adelaide United
8009,Dagenham & Redbridge
8010,Tatran Prešov
8012,CSF Bălți
8014,Elfsborg
8016,FK Liepāja
8020,Górnik Zabrze
8021,Zagłębie Lubin
8023,Pogoń Szczecin
8024,Widzew Łódź
8028,Piast Gliwice
8030,Lechia Gdańsk
8037,Kairat
8039,Zimbru
8043,Újpest
8044,Omonia Nicosia
8045,Karvan
8064,Valur
8065,Júbilo Iwata
8071,AGF
8076,Qabala
8086,Sandhausen
8109,Aarhus Fremad
8113,Midtjylland
8118,Brisbane Roar
8119,Rotherham United
8120,Larissa
8121,Angers SCO
8127,Mjällby
8130,KR
8131,Maidstone United
8142,Wuppertaler SV
8149,Union Berlin
8150,Holstein Kiel
8151,FH
8152,St. Pauli
8153,ES Tunis
8154,Domžale
8155,Flora
8164,Central Coast Mariners
8165,Nürnberg
8171,Preußen Münster
8173,Beitar Jerusalem
8175,Barnet
8176,Airdrieonians
8177,Hertha BSC
8178,Bayer Leverkusen
8179,Kongsvinger
8180,Strømsgodset
8188,Magdeburg
8189,Ängelholm
8191,Burnley
8194,Fortuna Düsseldorf
8195,Stuttgarter Kickers
8196,Wehen Wiesbaden
8197,Leicester City
8198,Schalke 04 II
8200,Bochum II
8201,Ulm
8203,Mechelen
8206,Lugo
8222,Ferencváros
8226,Hoffenheim
8231,Vejle
8232,Elversberg
8234,Ingolstadt
8235,Queen's Park
8243,Wisła Płock
8245,Korona Kielce
8248,Hammarby
8253,Hessen Kassel
8259,Houston Dynamo
8262,Darmstadt 98
8270,Avispa Fukuoka
8271,Saarbrücken
8274,Floridsdorfer AC
8277,Vitesse
8278,Borussia M'gladbach II
8280,Arbroath
8282,Livingston
8283,Barnsley
8284,Dundee
8285,Esbjerg
8287,Fortaleza
8288,Eldense
8289,HB Køge
8293,MSV Duisburg
8294,Hansa Rostock
8295,Karlsruher SC
8296,Rot-Weiss Essen
8297,GAIS
8299,ÍBV
8301,Hapoel Haifa
8302,Sevilla
8305,Getafe
8306,Las Palmas
